Brand,Model,Type,Cell tech,Pmax_STC_W,Voc_V,Vmp_V,Imp_A,Isc_A,TempCoeff_Pmax_%/C,TempCoeff_Voc_%/C,TempCoeff_Isc_%/C,Max_system_voltage_V,Max_series_fuse_A,Dimensions_mm,Weight_kg,Notes,Primary_source,Popularity_rank_ecoflow_community,Popularity_top10_ecoflow_community,Popularity_evidence,Voc_temp_coeff_missing,Voc_0C_V,Voc_-20C_V,Voc_-25C_V,EcoFlow_compatibility,Voc_safety_basis,Voc_safety_V,MaxSeries_60V,Headroom_60V_V,SinglePanelMargin_60V_V,MaxSeries_150V,Headroom_150V_V,SinglePanelMargin_150V_V,MaxSeries_450V,Headroom_450V_V,SinglePanelMargin_450V_V,MaxSeries_500V,Headroom_500V_V,SinglePanelMargin_500V_V,MinSeries_for_80Vmp,MinSeries_Vmp_total_V,MinSeries_Voc_total_V,SeriesRange_DPU_High_450V,SeriesRange_DPUX_High_500V,MinSeries_fits_450V,MinSeries_fits_500V
EcoFlow,125W Bifacial Modular Solar Panel,Modular bifacial,TOPCon monocrystalline silicon,125,50.0,43.0,3.0,3.2,,,,600.0,,612×1154×22,4.2,EcoFlow provides STC and BNPI (bifacial) ratings; STC values recorded in fields. Connector XT60. Bifaciality 80%±5%.,EcoFlow 125W bifacial modular product page (Specs section),5.0,1.0,"EcoFlow modular bifacial kit is promoted for expandable, parallel setups.",True,53.75,56.75,57.5,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 9S) | DPU‑X High 80–500V/15A: needs ≥2S (max 10S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,50.0,1,10.0,10.0,3,0.0,100.0,9,0.0,400.0,10,0.0,450.0,2,86.0,100.0,2S–9S,2S–10S,1.0,1.0
EcoFlow,175W Rigid Solar Panel,Rigid,Monocrystalline silicon,175,29.5,25.4,7.85,9.7,-0.3,,,600.0,,1176×762×30,9.3,Electrical/dims/weight per EcoFlow product page; temp coefficient from reseller listing (EcoFlow EU/partner sites list -0.30%/°C).,EcoFlow 175W Rigid product page + reseller spec,,0.0,,True,31.565,33.217,33.63,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥4S (max 15S) | DPU‑X High 80–500V/15A: needs ≥4S (max 16S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,29.5,2,1.0,30.5,5,2.5,120.5,15,7.5,420.5,16,28.0,470.5,4,101.6,118.0,4S–15S,4S–16S,1.0,1.0
EcoFlow,200W Portable Solar Panel,"Portable, monofacial",Monocrystalline (cell type not fully specified),200,22.8,18.6,10.8,11.2,,,,,,,,Commonly shown in EcoFlow 'Solar Generator' bundles as 2×200W. Temperature coefficients/detailed mechanical specs weren’t published on the sources we could access.,allprogenerators.com / offgridstores.com EcoFlow 200W portable panel listings,,,,True,24.396,25.673,25.992,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥5S (max 19S) | DPU‑X High 80–500V/15A: needs ≥5S (max 21S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,22.8,2,14.399999999999999,37.2,6,13.199999999999989,127.2,19,16.80000000000001,427.2,21,21.19999999999999,477.2,5,93.0,114.0,5S–19S,5S–21S,1.0,1.0
EcoFlow,200W Rigid Solar Panel,"Rigid, monofacial",Monocrystalline,200,24.5,20.4,9.8,10.41,,,,600.0,,1477×668×30,12.5,Seen as add-on rigid panel option with EcoFlow portable power stations in US retailer bundles.,offgridstores.com EcoFlow 200W Rigid Solar Panel product listing,,,,True,26.215,27.587,27.93,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥4S (max 18S) | DPU‑X High 80–500V/15A: needs ≥4S (max 20S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,24.5,2,11.0,35.5,6,3.0,125.5,18,9.0,425.5,20,10.0,475.5,4,81.6,98.0,4S–18S,4S–20S,1.0,1.0
EcoFlow,220W Bifacial Portable Solar Panel (EFSOLAR220W / NextGen 220W),Portable bifacial,N-type TOPCon monocrystalline silicon (official),220,21.5,18.4,11.9,12.4,,,,,,Unfolded 615×2155×25; Folded 615×590×32,7.0,"Official NextGen spec: Rated Power 220W front / 175W rear. Rear-side Isc 9.9A, Imp 9.5A. Efficiency 25%. IP68.",EcoFlow US 'NextGen 220W Bifacial Portable Solar Panel' product page,2.0,1.0,Popular EcoFlow bifacial portable panel (NextGen 220W).,True,23.113,24.402,24.725,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥5S (max 20S) | DPU‑X High 80–500V/15A: needs ≥5S (max 23S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,21.5,2,17.0,38.5,6,21.0,128.5,20,20.0,428.5,23,5.5,478.5,5,92.0,107.5,5S–20S,5S–23S,1.0,1.0
EcoFlow,400W Portable Solar Panel (EFSOLAR400W),Portable,Monocrystalline silicon,400,48.0,41.0,9.8,11.0,,,,,,1068×2390×24,16.0,Rated Power 400W (±10W). Open Circuit Voltage 48V (Vmp 41V). Short Circuit Current 11A (Imp 9.8A). IP68. Weight w/ case ~19 kg.,EcoFlow 400W Portable Solar Panel specs (EcoFlow store snippet + reseller spec pages),1.0,1.0,Frequently purchased EcoFlow portable panel; commonly bundled/recommended for EcoFlow power stations.,True,51.36,54.048,54.72,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 9S) | DPU‑X High 80–500V/15A: needs ≥2S (max 10S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,48.0,1,12.0,12.0,3,6.0,102.0,9,18.0,402.0,10,20.0,452.0,2,82.0,96.0,2S–9S,2S–10S,1.0,1.0
EcoFlow,400W Rigid Solar Panel (ZPTSP300),"Rigid, monofacial",Monocrystalline,400,37.1,31.0,12.9,13.79,-0.38,-0.35,0.06,1500.0,25.0,1722×1134×35,21.8,EcoFlow rigid module; ~23% efficiency; IP68. Sold in EcoFlow DPU‑X Solar Generator bundles as 4×400W rigid option; also sold retail as SKU ZPTSP300.,EcoFlow product page + OutboundPower SKU/spec listing,,0.0,,False,40.34625,42.94325,43.5925,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥3S (max 10S) | DPU‑X High 80–500V/15A: needs ≥3S (max 11S),Voc@-25C,43.5925,1,16.4075,16.4075,3,19.222499999999997,106.4075,10,14.074999999999989,406.4075,11,20.48249999999996,456.4075,3,93.0,130.7775,3S–10S,3S–11S,1.0,1.0
EcoFlow,450W Rigid Solar Panel (EF-SG-M450-04 / EFSOLAR450W-2),"Rigid, monofacial",Monocrystalline,450,41.4,36.3,12.4,13.1,-0.38,-0.36,0.07,1500.0,25.0,1908×1134×30,22.4,Appears in EcoFlow rigid panel ecosystem; good match for EcoFlow MPPT ports (Voc well under 60V so 1S works on low-voltage inputs).,solareon.co.uk EcoFlow 450W Rigid Solar Panel specs; signatures from EcoFlow retail listings,,,,False,45.126000000000005,48.10679999999999,48.852,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥3S (max 9S) | DPU‑X High 80–500V/15A: needs ≥3S (max 10S),Voc@-25C,48.852,1,11.148000000000003,11.148000000000003,3,3.444000000000017,101.148,9,10.33200000000005,401.148,10,11.480000000000018,451.148,3,108.89999999999999,146.55599999999998,3S–9S,3S–10S,1.0,1.0
EcoFlow,45W Portable Solar Panel,Portable,Monocrystalline silicon (EcoFlow lists as 'Cell Type'),45,25.6,22.0,1.98,2.06,,,,,,Unfolded 980×309×25; Folded 222×309×45,1.4,Includes DC5521 + USB-C output; STC ±5W. Efficiency up to 25%.,EcoFlow 45W product page (Specs Type-C),,0.0,,True,27.392,28.826,29.184,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥4S (max 17S) | DPU‑X High 80–500V/15A: needs ≥4S (max 19S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,25.6,2,8.799999999999997,34.4,5,22.0,124.4,17,14.799999999999955,424.4,19,13.599999999999966,474.4,4,88.0,102.4,4S–17S,4S–19S,1.0,1.0
EcoFlow,60W Solar Panel (EFSOLAR60),Portable,Monocrystalline silicon,60,21.6,18.2,3.3,3.5,,,,,,Unfolded 537×815×24; Folded 537×420×24 (approx),2.0,Specs vary by region/version; this row reflects the MC4 portable 60W version commonly sold as SOLAR60W/EFSOLAR60.,EcoFlow 60W specs (MC4 version) reseller spec table,,0.0,,True,23.112,24.322,24.624,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥5S (max 20S) | DPU‑X High 80–500V/15A: needs ≥5S (max 23S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,21.6,2,16.799999999999997,38.4,6,20.399999999999977,128.4,20,18.0,428.4,23,3.1999999999999886,478.4,5,91.0,108.0,5S–20S,5S–23S,1.0,1.0
EcoFlow,NextGen 160W Portable Solar Panel,Portable,N-type TOPCon monocrystalline,160,21.3,18.6,8.6,9.1,,,,,,Unfolded 600×1610×25; Folded 600×572×32,5.6,EcoFlow NextGen 160W specs.,EcoFlow NextGen 160W bundle page (Specs section),3.0,1.0,Popular EcoFlow portable panel size in EcoFlow community gear lists.,True,22.791,23.984,24.282,D3 Max 11–60V/13A: YES | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: NO | DPU Low 30–150V/15A: NO | DPU High 80–450V/15A: needs ≥5S (max 21S) | DPU‑X High 80–500V/15A: needs ≥5S (max 23S) | Note: Voc temperature coefficient missing → cold‑weather voltage margin unknown.,Voc@STC,21.3,2,17.4,38.7,7,0.9000000000000057,128.7,21,2.6999999999999886,428.7,23,10.099999999999966,478.7,5,93.0,106.5,5S–21S,5S–23S,1.0,1.0
HD Hyundai Energy Solutions,HiN-T640NJ,"Bifacial (BNPI rear gain), glass/glass","Premium N-type TOPCon, 156 half-cut cells (16BB)",640,57.77,47.74,13.41,14.06,-0.29,-0.25,0.043,1500.0,30.0,2465×1134×30,34.7,US Solar Supplier 640W listing (HiN-T640NJ). User sometimes refers to this as Samsung 640W; canonical manufacturer is HD Hyundai Energy Solutions.,US Solar Supplier product page: Hyundai 640W NJ Series N Type TOPCon Solar Panel HiN-T640NJ,,0.0,,False,61.380625,64.269125,64.99125000000001,D3 Max 11–60V/13A: NO | D2/D2 Max 11–60V/15A: NO | D3 Ultra+ 11–60V/18A: NO | DP3 LV 11–60V/20A: NO | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 6S) | DPU‑X High 80–500V/15A: needs ≥2S (max 7S),Voc@-25C,64.99125000000001,0,60.0,-4.991250000000008,2,20.017499999999984,85.00874999999999,6,60.05249999999995,385.00874999999996,7,45.06124999999997,435.00874999999996,2,95.48,129.98250000000002,2S–6S,2S–7S,1.0,1.0
HT-SAAE,HT72-18X (HT 550W Bifacial),Bifacial (dual glass),"Mono, 144 cells",550,50.2,41.9,13.13,13.91,-0.29,-0.23,0.046,1500.0,25.0,2278×1134×30,32.0,"Signature Solar listing provides Voc/Isc, dimensions; full STC electrical table + temp coefficients require the linked spec sheet PDF (ImageRelay download). Specs extracted from HT-SAAE datasheet. Specs extracted from HT-SAAE datasheet.",signaturesolar.com HT 550W product page,,,,False,53.08650000000001,55.3957,55.973000000000006,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 8S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,55.973000000000006,1,4.026999999999994,4.026999999999994,2,38.05399999999999,94.02699999999999,8,2.2159999999999513,394.027,8,52.21599999999995,444.027,2,83.8,111.94600000000001,2S–8S,2S–8S,1.0,1.0
JA Solar,JAM72D40-595/MB-US,"Bifacial, dual-glass","N-type TOPCon, half-cut (144 cells)",595,52.58,44.64,13.33,13.99,-0.29,-0.25,0.045,1500.0,30.0,2278×1134×30,31.8,Includes BNPI ratings; electrical values above are STC for 595W bin.,JA Solar JAM72D40-595/MB datasheet PDF (screenshots),,0.0,,False,55.86625,58.49525,59.1525,D3 Max 11–60V/13A: YES (current clip likely) | D2/D2 Max 11–60V/15A: YES | D3 Ultra+ 11–60V/18A: YES | DP3 LV 11–60V/20A: YES | Delta Pro 11–150V/15A: YES | DP3 HV 30–150V/15A: YES | DPU Low 30–150V/15A: YES | DPU High 80–450V/15A: needs ≥2S (max 7S) | DPU‑X High 80–500V/15A: needs ≥2S (max 8S),Voc@-25C,59.1525,1,0.8474999999999966,0.8474999999999966,2,31.694999999999993,90.8475,7,35.932500000000005,390.84749999999997,8,26.779999999999973,440.84749999999997,2,89.28,118.305,2S–7S,2S–8S,1.0,1.0
